fecha,anio,mes,linea,afluencia
2005-08-21,2005,Agosto,Línea 6,NaN
2005-08-21,2005,Agosto,Línea 1,106369
2005-08-21,2005,Agosto,Línea 3,NaN
2005-08-22,2005,Agosto,Línea 4,NaN
2005-08-22,2005,Agosto,Línea 1,248816
2005-08-22,2005,Agosto,Línea 2,NaN
2005-08-22,2005,Agosto,Línea 6,NaN
2005-08-22,2005,Agosto,Línea 5,NaN
2005-08-22,2005,Agosto,Línea 7,NaN
2005-08-22,2005,Agosto,Línea 3,NaN
2005-08-23,2005,Agosto,Línea 7,NaN
2005-08-23,2005,Agosto,Línea 4,NaN
2005-08-23,2005,Agosto,Línea 6,NaN
2005-08-23,2005,Agosto,Línea 1,241732
2005-08-23,2005,Agosto,Línea 2,NaN
2005-08-23,2005,Agosto,Línea 5,NaN
2005-08-23,2005,Agosto,Línea 3,NaN
2005-08-24,2005,Agosto,Línea 7,NaN
2005-08-24,2005,Agosto,Línea 4,NaN
2005-08-24,2005,Agosto,Línea 2,NaN
2005-08-24,2005,Agosto,Línea 1,271417
2005-08-24,2005,Agosto,Línea 5,NaN
2005-08-24,2005,Agosto,Línea 3,NaN
2005-08-24,2005,Agosto,Línea 6,NaN
2005-08-25,2005,Agosto,Línea 2,NaN
2005-08-25,2005,Agosto,Línea 3,NaN
2005-08-25,2005,Agosto,Línea 1,237583
2005-08-25,2005,Agosto,Línea 6,NaN
2005-08-25,2005,Agosto,Línea 4,NaN
2005-08-25,2005,Agosto,Línea 5,NaN
2005-08-25,2005,Agosto,Línea 7,NaN
2005-08-26,2005,Agosto,Línea 7,NaN
2005-08-26,2005,Agosto,Línea 4,NaN
2005-08-26,2005,Agosto,Línea 2,NaN
2005-08-26,2005,Agosto,Línea 1,277061
2005-08-26,2005,Agosto,Línea 6,NaN
2005-08-26,2005,Agosto,Línea 5,NaN
2005-08-26,2005,Agosto,Línea 3,NaN
2005-08-27,2005,Agosto,Línea 1,146053
2005-08-27,2005,Agosto,Línea 7,NaN
2005-08-27,2005,Agosto,Línea 5,NaN
2005-08-27,2005,Agosto,Línea 3,NaN
2005-08-27,2005,Agosto,Línea 4,NaN
2005-08-27,2005,Agosto,Línea 6,NaN
2005-08-27,2005,Agosto,Línea 2,NaN
2005-08-28,2005,Agosto,Línea 7,NaN
2005-08-28,2005,Agosto,Línea 4,NaN
2005-08-28,2005,Agosto,Línea 1,104760
2005-08-28,2005,Agosto,Línea 2,NaN
2005-08-28,2005,Agosto,Línea 5,NaN
2005-08-28,2005,Agosto,Línea 6,NaN
2005-08-28,2005,Agosto,Línea 3,NaN
2005-08-29,2005,Agosto,Línea 1,257559
2005-08-29,2005,Agosto,Línea 2,NaN
2005-08-29,2005,Agosto,Línea 5,NaN
2005-08-29,2005,Agosto,Línea 6,NaN
2005-08-29,2005,Agosto,Línea 7,NaN
2005-08-29,2005,Agosto,Línea 4,NaN
2005-08-29,2005,Agosto,Línea 3,NaN
2005-08-30,2005,Agosto,Línea 1,269336
2005-08-30,2005,Agosto,Línea 5,NaN
2005-08-30,2005,Agosto,Línea 7,NaN
2005-08-30,2005,Agosto,Línea 4,NaN
2005-08-30,2005,Agosto,Línea 6,NaN
2005-08-30,2005,Agosto,Línea 2,NaN
2005-08-30,2005,Agosto,Línea 3,NaN
2005-08-31,2005,Agosto,Línea 4,NaN
2005-08-31,2005,Agosto,Línea 3,NaN
2005-08-31,2005,Agosto,Línea 2,NaN
2005-08-31,2005,Agosto,Línea 5,NaN
2005-08-31,2005,Agosto,Línea 6,NaN
2005-08-31,2005,Agosto,Línea 7,NaN
2005-08-31,2005,Agosto,Línea 1,264626
2005-09-01,2005,Septiembre,Línea 4,NaN
2005-09-01,2005,Septiembre,Línea 7,NaN
2005-09-01,2005,Septiembre,Línea 1,264803
2005-09-01,2005,Septiembre,Línea 2,NaN
2005-09-01,2005,Septiembre,Línea 5,NaN
2005-09-01,2005,Septiembre,Línea 6,NaN
2005-09-01,2005,Septiembre,Línea 3,NaN
2005-09-02,2005,Septiembre,Línea 5,NaN
2005-09-02,2005,Septiembre,Línea 3,NaN
2005-09-02,2005,Septiembre,Línea 7,NaN
2005-09-02,2005,Septiembre,Línea 1,279346
2005-09-02,2005,Septiembre,Línea 2,NaN
2005-09-02,2005,Septiembre,Línea 4,NaN
2005-09-02,2005,Septiembre,Línea 6,NaN
2005-09-03,2005,Septiembre,Línea 4,NaN
2005-09-03,2005,Septiembre,Línea 2,NaN
2005-09-03,2005,Septiembre,Línea 3,NaN
2005-09-03,2005,Septiembre,Línea 7,NaN
2005-09-03,2005,Septiembre,Línea 1,149127
2005-09-03,2005,Septiembre,Línea 5,NaN
2005-09-03,2005,Septiembre,Línea 6,NaN
2005-09-04,2005,Septiembre,Línea 2,NaN
2005-09-04,2005,Septiembre,Línea 5,NaN
2005-09-04,2005,Septiembre,Línea 6,NaN
2005-09-04,2005,Septiembre,Línea 3,NaN
2005-09-04,2005,Septiembre,Línea 4,NaN
2005-09-04,2005,Septiembre,Línea 7,NaN
2005-09-04,2005,Septiembre,Línea 1,103497
2005-09-05,2005,Septiembre,Línea 3,NaN
2005-09-05,2005,Septiembre,Línea 7,NaN
2005-09-05,2005,Septiembre,Línea 5,NaN
2005-09-05,2005,Septiembre,Línea 6,NaN
2005-09-05,2005,Septiembre,Línea 1,249980
2005-09-05,2005,Septiembre,Línea 2,NaN
2005-09-05,2005,Septiembre,Línea 4,NaN
2005-09-06,2005,Septiembre,Línea 1,275915
2005-09-06,2005,Septiembre,Línea 7,NaN
2005-09-06,2005,Septiembre,Línea 5,NaN
2005-09-06,2005,Septiembre,Línea 3,NaN
2005-09-06,2005,Septiembre,Línea 2,NaN
2005-09-06,2005,Septiembre,Línea 6,NaN
2005-09-06,2005,Septiembre,Línea 4,NaN
2005-09-07,2005,Septiembre,Línea 4,NaN
2005-09-07,2005,Septiembre,Línea 7,NaN
2005-09-07,2005,Septiembre,Línea 6,NaN
2005-09-07,2005,Septiembre,Línea 5,NaN
2005-09-07,2005,Septiembre,Línea 1,263641
2005-09-07,2005,Septiembre,Línea 2,NaN
2005-09-07,2005,Septiembre,Línea 3,NaN
2005-09-08,2005,Septiembre,Línea 1,265408
2005-09-08,2005,Septiembre,Línea 5,NaN
2005-09-08,2005,Septiembre,Línea 2,NaN
2005-09-08,2005,Septiembre,Línea 7,NaN
2005-09-08,2005,Septiembre,Línea 6,NaN
2005-09-08,2005,Septiembre,Línea 3,NaN
2005-09-08,2005,Septiembre,Línea 4,NaN
2005-09-09,2005,Septiembre,Línea 2,NaN
2005-09-09,2005,Septiembre,Línea 6,NaN
2005-09-09,2005,Septiembre,Línea 3,NaN
2005-09-09,2005,Septiembre,Línea 5,NaN
2005-09-09,2005,Septiembre,Línea 7,NaN
2005-09-09,2005,Septiembre,Línea 1,263955
