fecha,mes,anio,linea,tipo_pago,afluencia
2021-01-11,Enero,2021,Línea 4,Prepago,49256
2021-01-11,Enero,2021,Línea 4,Gratuidad,2376
2021-01-11,Enero,2021,Línea 5,Prepago,103956
2021-01-11,Enero,2021,Línea 5,Gratuidad,10397
2021-01-11,Enero,2021,Línea 6,Prepago,128653
2021-01-11,Enero,2021,Línea 6,Gratuidad,8498
2021-01-11,Enero,2021,Línea 7,Prepago,105293
2021-01-11,Enero,2021,Línea 7,Gratuidad,1509
2021-01-12,Enero,2021,Línea 1,Prepago,278788
2021-01-12,Enero,2021,Línea 1,Gratuidad,12843
2021-01-12,Enero,2021,Línea 2,Prepago,103292
2021-01-12,Enero,2021,Línea 2,Gratuidad,6732
2021-01-12,Enero,2021,Línea 3,Prepago,94879
2021-01-12,Enero,2021,Línea 3,Gratuidad,8542
2021-01-12,Enero,2021,Línea 4,Prepago,47559
2021-01-12,Enero,2021,Línea 4,Gratuidad,2532
2021-01-12,Enero,2021,Línea 5,Prepago,99472
2021-01-12,Enero,2021,Línea 5,Gratuidad,9881
2021-01-12,Enero,2021,Línea 6,Prepago,95073
2021-01-12,Enero,2021,Línea 6,Gratuidad,7731
2021-01-12,Enero,2021,Línea 7,Prepago,104247
2021-01-12,Enero,2021,Línea 7,Gratuidad,1316
2021-01-13,Enero,2021,Línea 1,Prepago,279403
2021-01-13,Enero,2021,Línea 1,Gratuidad,13538
2021-01-13,Enero,2021,Línea 2,Prepago,100273
2021-01-13,Enero,2021,Línea 2,Gratuidad,6644
2021-01-13,Enero,2021,Línea 3,Prepago,95888
2021-01-13,Enero,2021,Línea 3,Gratuidad,8408
2021-01-13,Enero,2021,Línea 4,Prepago,51637
2021-01-13,Enero,2021,Línea 4,Gratuidad,2411
2021-01-13,Enero,2021,Línea 5,Prepago,89830
2021-01-13,Enero,2021,Línea 5,Gratuidad,9668
2021-01-13,Enero,2021,Línea 6,Prepago,92781
2021-01-13,Enero,2021,Línea 6,Gratuidad,7514
2021-01-13,Enero,2021,Línea 7,Prepago,103911
2021-01-13,Enero,2021,Línea 7,Gratuidad,1537
2021-01-14,Enero,2021,Línea 1,Prepago,281825
2021-01-14,Enero,2021,Línea 1,Gratuidad,12663
2021-01-14,Enero,2021,Línea 2,Prepago,100109
2021-01-14,Enero,2021,Línea 2,Gratuidad,6687
2021-01-14,Enero,2021,Línea 3,Prepago,98348
2021-01-14,Enero,2021,Línea 3,Gratuidad,7861
2021-01-14,Enero,2021,Línea 4,Prepago,49843
2021-01-14,Enero,2021,Línea 4,Gratuidad,2454
2021-01-14,Enero,2021,Línea 5,Prepago,93138
2021-01-14,Enero,2021,Línea 5,Gratuidad,9462
2021-01-14,Enero,2021,Línea 6,Prepago,95527
2021-01-14,Enero,2021,Línea 6,Gratuidad,7165
2021-01-14,Enero,2021,Línea 7,Prepago,100580
2021-01-14,Enero,2021,Línea 7,Gratuidad,1336
2021-01-15,Enero,2021,Línea 1,Prepago,302225
2021-01-15,Enero,2021,Línea 1,Gratuidad,13929
